FIT 101,LIT 101,AIT 201,AIT 202,AIT 203,FIT 201,AIT 301,AIT 302,AIT 303,FIT 301,LIT 301,P3_STATE,FIT 401,AIT 502,AIT 503,AIT 504,FIT 502,FIT 504,FIT 601,label
0.0,729.8658,142.527557,9.293002,198.077423,2.335437,8.522921,256.431274,143.158966,0.000512443,730.7021,99.0,0.7817402,147.3981,1016.27789,46.0651131,0.3103625,0.2134324,0.000320379,0
0.0,729.434,142.527557,9.293002,198.385025,2.335437,8.522921,256.431274,143.158966,0.000512443,730.902344,99.0,0.782380462,147.3981,1016.27789,45.7575,0.315101832,0.212984011,0.000320379,0
0.0,729.12,142.527557,9.293002,198.4363,2.335437,8.522921,256.431274,143.158966,0.000512443,732.3443,99.0,0.7830207,147.3981,1016.27789,45.60369,0.3170232,0.212984011,0.000320379,0
0.0,728.6882,142.527557,9.289157,198.667,2.335437,8.522921,256.431274,143.158966,0.000512443,732.7048,99.0,0.7830207,147.167389,1016.27789,45.60369,0.3080569,0.212791845,0.000320379,0
0.0,727.7069,142.527557,9.289157,198.89772,2.335437,8.522921,256.431274,143.158966,0.000512443,732.7448,99.0,0.781228,147.090485,1016.27789,45.2191734,0.303445637,0.2140089,0.000320379,0
0.0,727.157349,142.527557,9.289157,199.154068,2.33454013,8.527498,256.431274,143.158966,0.000512443,733.9865,99.0,0.781228,146.962311,1016.27789,45.10382,0.296272576,0.214649454,0.000320379,0
0.0,726.490051,142.527557,9.289157,199.282242,2.33454013,8.527498,256.917847,143.158966,0.000512443,734.427063,99.0,0.781228,146.936676,1016.27789,44.91156,0.2957602,0.212663725,0.000320379,0
0.0,726.097534,142.527557,9.289157,199.46167,2.33454013,8.535406,257.0459,143.158966,0.000512443,735.228149,99.0,0.7810999,146.936676,1016.27789,44.91156,0.295375943,0.212663725,0.000320379,0
0.0,725.7835,142.527557,9.289157,199.564209,2.33454013,8.535406,257.455658,143.158966,0.000512443,736.3897,99.0,0.7804597,146.757248,1016.27789,44.3347855,0.308441162,0.212663725,0.000320379,0
0.0,725.2732,142.527557,9.289157,199.794922,2.33454013,8.535406,257.455658,143.158966,0.000512443,736.5099,99.0,0.7825085,146.705978,1016.27789,44.3347855,0.316638917,0.212663725,0.000320379,0
